Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"Amazonia FS11GR-PVD Душевая стойка (150 см) со смесителем, гигиеническим душем, латунь, оружейная сталь EvaGold",,,,д5599,заводской брак,не закрывается скрытая заглушка,Китай - Чаотай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002086 от 06.10.2025 9:27:55,,Существенный,1,,"8 120,23"
"Крепления QQ для сидений (2 шт.) к унитазам SM9004A, SM9610, SM9009, T1086, K50",,,,д6100,Брак Сиденья ,брак крепления,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"172,24"
"T2334 Бачок для унитаза-компакта, арматура",,,,Д6965,взять на экспертизу,"T2334 Бачок для унитаза-компакта, арматура, ¶Течет при смыве",Китай - Виландор,Поставщик,"Склад""Уценка Ленина"" ",Списание недостач товаров ГФУТ-000105 от 31.10.2025 9:39:35,"Склад""Уценка Ленина"" ",,,Существенный,1,,"1 781,47"
"T2335 Бачок для унитаза-компакта, арматура",,,,д5965,бой при доставке,бой,Китай - Виландор,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"1 729,55"
"50 Тумба ""Rados 50"" с ящиком  (ум. Уют 50)",,,,д5966,бой при доставке,бой дна,Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 961,07"
Зеркало Maria Black 100х80 light прямоугольное с LED подсветкой (2 варианта навеса),,,,д5949,не комплект поставщик,отсутствуют крепежи,ДАБЛ-Ю ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002062 от 12.09.2025 10:54:05,,Существенный,1,,"5 046,50"
"Унитаз-компакт ""Стандарт Эконом"" белый  Киров, кос.выпуск, сид. полипропилен (упрощенное)",,,,д5954,заводской брак,скол на крышке бачка,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002061 от 12.09.2025 10:36:16,,Существенный,1,,"3 883,04"
Пенал-шкаф 60 В 2 ств.(корз),,,,д5971,заводской брак,скол на двери,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"8 075,75"
"A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,д5982,бой в целой коробке,скол угла,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 807,43"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д5988,заводской брак,"недолив эмали,плеш",КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002057 от 11.09.2025 10:06:46,,Существенный,1,,"2 730,30"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д5974,заводской брак,вмятина на лицевой стороне,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д5975,заводской брак,"плеш на ободе,недолив эмали",Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"40 Пенал-шкаф ""НИКА-40"" универсальный",,,,д6163,заводской брак,Отслоение пленки,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 306,10"
