Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6443,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6444,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6445,заводской брак,пятно на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6446,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6448,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6449,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок T1086 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6447,заводской брак,метализация на ободе,Китай - Виландор,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002087 от 06.10.2025 9:35:44,,Существенный,1,,"7 256,67"
"Унитаз-моноблок SM9618T безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6452,заводской брак,"пятно на ободе,потертость на крышке ",Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 504,63"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6453,заводской брак,пятна на крышке ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6454,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6455,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6456,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9612 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6457,заводской брак,пятно на крышке ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 704,12"
"Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6458,заводской брак,потертость на крышке ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 504,63"
