,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"Крышка для бачка к унитазу A2801, A2802, A2807, A2808, A2809 (к старой форме)",,,,,,,1,"780,72",,Д7208,Акт о браке 000021596 от 20.11.2025 10:05:47,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Китай - Виздом,6,"16 219,54",,,,,,
"Унитаз подвесной K707T с круговым смывом безободковый, сиденье тонкое ДП, крепления",,,,,,,1,"5 432,09",,Д7172,Акт о браке 000021598 от 20.11.2025 10:07:53,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,,,,1,"3 665,01",,Д7243,Акт о браке 000021619 от 20.11.2025 13:23:57,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,,,,1,"3 665,01",,Д7250,Акт о браке 000021621 от 20.11.2025 13:25:31,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2801, A2801B Бачок для унитаза-компакта, арматура",,,,,,,1,"1 803,92",,Д7142,Акт о браке 000021678 от 25.11.2025 9:13:11,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,,,,1,"861,46",,Д7587,Акт о браке 000022077 от 23.12.2025 12:55:54,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Бачок для унитаза-компакта EG301T, арматура",,,,,,,1,"792,05",,Д7303,Акт о браке 000021669 от 25.11.2025 8:56:03,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Росток-Мебель,3,"16 157,6",,,,,,
"35 Пенал-шкаф ""Paola 35"" (2 ящика)",,,,,,,1,"6 770,9",,Д7073,Акт о браке 000021437 от 07.11.2025 10:36:45,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"80 Тумба ""Paola 80"" (ум. Гремми 80/Фостер 80/Como 80)",,,,,,,1,"5 503,32",,Д6778,Акт о браке 000021141 от 15.10.2025 12:17:33,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"75 Зеркало "" Gloria 75""",,,,,,,1,"3 883,38",,Д7574,Акт о браке 000021956 от 11.12.2025 9:27:36,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",ВЕРСАЛЬ ООО,4,"16 051,87",,,,,,
"80 Подвесная тумба ""Liberty №2 80"" (Como 80; ум. Грэмми 80; Фостер 80) (белый)  Pur-клей",,,,,,,1,"5 064,86",,МП6404,Акт о браке 000021737 от 01.12.2025 9:42:42,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"45 Подвесной пенал-шкаф ""Forest 45"" универсальный Pur-клей",,,,,,,1,"4 946,22",,МП6414,Акт о браке 000021741 от 01.12.2025 9:54:42,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"80 Зеркало ""Forest 80"" Pur-клей",,,,,,,1,"3 932,52",,МП6412,Акт о браке 000021741 от 01.12.2025 9:54:42,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
50 Тумба «НК -50» (ум. Уют 50),,,,,,,1,"2 108,27",,МП6434,Акт о браке 000021875 от 04.12.2025 11:22:27,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
утилизация / комиссия,,,,Акт_тек клиента,течь,Китай - Джиохол,3,"15 914,79",,,,,,
"Унитаз-компакт EG307T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2335)",,,,,,,1,"5 865,11",,Д7516,Акт о браке 000021920 от 09.12.2025 10:08:50,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-компакт EG307T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2335)",,,,,,,1,"5 865,11",,Д7548,Акт о браке 000021944 от 09.12.2025 16:25:07,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз безободковый EG307T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 184,57",,Д7449,Акт о браке 000021832 от 03.12.2025 9:58:16,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой в целой коробке,Кировская керамика АО,3,"15 314,23",,,,,,
"80 Умывальник ""Грэмми"" 800",,,,,,,1,"5 177,03",,Д6900,Акт о браке 000021297 от 28.10.2025 9:44:42,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"80 Умывальник ""Грэмми"" 800",,,,,,,1,"5 134,99",,Д7521,Акт о браке 000021988 от 16.12.2025 12:37:51,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-компакт ""Элегант"" черный  Киров, кос. выпуск, сид.полипропилен",,,,,,,1,"5 002,21",,Д7700,Акт о браке 000022102 от 23.12.2025 15:56:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Китай - Виландор,2,"14 942,42",,,,,,
