,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"60 Зеркало-шкаф ""Sevilla 60""",,,,,,,1,"3 226,84",,МП6429,Акт о браке 000021850 от 03.12.2025 13:53:15,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"50 Тумба ""Vardi 50"" (ум. Como-50)",,,,,,,1,"2 757,17",,МП6430,Акт о браке 000021876 от 04.12.2025 11:28:02,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"40 Тумба ""Cleo 40"" (ум. MODUO 40/COMO 40)",,,,,,,1,"2 048,91",,МП6422,Акт о браке 000021854 от 03.12.2025 13:57:45,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
65 Тумба «Natura 65» (ум. Элеганс 65)(в разборе),,,,,,,1,"1 969,65",,МП6460,Акт о браке 000022032 от 18.12.2025 15:25:59,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"50 Зеркало-шкаф ""Даймонд 50"" (в разборе) Белый",,,,,,,1,"1 960,83",,МП6441,Акт о браке 000021900 от 08.12.2025 13:31:57,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 790,49",,МП6418,Акт о браке 000021814 от 02.12.2025 12:34:21,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 790,49",,МП6423,Акт о браке 000021853 от 03.12.2025 13:56:35,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 790,49",,МП6445,Акт о браке 000021930 от 09.12.2025 13:12:51,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 764,97",,МП6464,Акт о браке 000022090 от 23.12.2025 14:45:14,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 764,97",,МП6465,Акт о браке 000022094 от 23.12.2025 14:58:37,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 764,97",,МП6466,Акт о браке 000022097 от 23.12.2025 15:46:43,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 764,97",,МП6470,Акт о браке 000022092 от 23.12.2025 14:53:41,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 764,97",,МП6475,Акт о браке 000022099 от 23.12.2025 15:52:33,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Смув,5,"41 922,84",,,,,,
"Унитаз-моноблок SM9615 МРАМОР безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"12 310,3",,МП6411,Акт о браке 000021747 от 01.12.2025 10:43:39,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 847,34",,МП6403,Акт о браке 000021736 от 28.11.2025 15:40:10,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок SM9618 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 551,94",,МП6400,Акт о браке 000021740 от 01.12.2025 9:51:43,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок SM9618 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 551,94",,МП6426,Акт о браке 000021852 от 03.12.2025 13:55:14,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 661,32",,МП6456,Акт о браке 000022018 от 17.12.2025 12:44:44,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Китай - Виздом,11,"38 628,21",,,,,,
"A2801B Унитаз безободковый с биде, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"5 973,03",,Е831,Акт о браке 000021909 от 09.12.2025 9:21:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
