№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
Акт о браке 000022268 от 14.01.2026 10:42:24,,,,,,,,,,,,,,,"1,0",,"6837,0"
"49,0","85 Тумба ""Retro 85"" №2 (ум. Модерн 850)",,,,д7835,заводской брак,скол,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"6837,0"
Акт о браке 000022269 от 14.01.2026 10:43:25,,,,,,,,,,,,,,,"1,0",,"6859,7"
"50,0","105 Умывальник ""Дуглас 1050""",,,,д7855,бой в целой коробке,скол,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"6859,7"
Акт о браке 000022270 от 14.01.2026 10:44:02,,,,,,,,,,,,,,,"1,0",,"1313,3"
"51,0","45 Умывальник ""Уют 450""",,,,д7871,бой в целой коробке,трещена,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"1313,3"
Акт о браке 000022271 от 14.01.2026 10:45:02,,,,,,,,,,,,,,,"3,0",,"9652,9"
"52,0","60 Тумба ""Olsen 60 №2"" (ум. COMO 60 )",,,,д7893,не товарный вид водитель,мокрая коробка,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4351,7"
"53,0","60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д7892,не товарный вид водитель,мокрая коробка,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2730,3"
"54,0","60 Зеркало-шкаф ""Olsen 60""",,,,д7894,не товарный вид водитель,мокрая коробка,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2570,9"
Акт о браке 000022272 от 14.01.2026 12:32:07,,,,,,,,,,,,,,,"1,0",,"2730,3"
"55,0","60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д7924,заводской брак,Мойка не становится на тумбу с одной стороны,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"2730,3"
Акт о браке 000022273 от 14.01.2026 13:05:27,,,,,,,,,,,,,,,"1,0",,"8281,2"
"56,0","75 Тумба ""Sky 75"" №2 (ум. Оскар 75, Quadro 750) (индиго/кашемир)",,,,д7918,заводской брак,на лицевой стороне створки обнаружили точечное вздутие на фасаде внешней части,Овчинникова Марина Николаевна ИП (FSC),Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"8281,2"
Акт о браке 000022274 от 14.01.2026 13:11:02,,,,,,,,,,,,,,,"1,0",,"6804,3"
"57,0","Унитаз-моноблок 5005 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7920,заводской брак,трещина,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"6804,3"
Акт о браке 000022275 от 14.01.2026 13:32:24,,,,,,,,,,,,,,,"1,0",,"5972,8"
"58,0","80 Тумба ""Paola 80"" (ум. Гремми 80/Фостер 80/Como 80)",,,,д7915,заводской брак,Отслаивается покрытие,Росток-Мебель,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5972,8"
Акт о браке 000022296 от 15.01.2026 9:19:34,,,,,,,,,,,,,,,"1,0",,"7996,4"
"59,0","Amazonia FS11GR-PVD Душевая стойка (150 см) со смесителем, гигиеническим душем, латунь, оружейная сталь EvaGold",,,,д7803,заводской брак,царапина ,Китай - Чаотай,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002182 от 05.02.2026 10:17:26,,1,,"7996,4"
Акт о браке 000022298 от 15.01.2026 9:31:32,,,,,,,,,,,,,,,"2,0",,"8658,0"
"60,0","Унитаз безободковый EG311T, сиденье тонкое ДП, крепления (без бачка)",,,,д7840,заводской брак,холодный треск на чаше ,Китай - Джинсили,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002178 от 05.02.2026 9:57:48,,1,,"4329,0"
"61,0","Унитаз безободковый EG309T, сиденье тонкое ДП, крепления (без бачка)",,,,д7839,заводской брак,холодный треск на чаши,Китай - Джинсили,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002178 от 05.02.2026 9:57:48,,1,,"4329,0"
Акт о браке 000022299 от 15.01.2026 9:32:40,,,,,,,,,,,,,,,"1,0",,"1500,7"
"62,0","Бачок для унитаза-компакта EG309T, EG310T, EG311T, EG312T, арматура",,,,д7859,бой при доставке,бой бачка,Китай - Джинсили,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"1500,7"
Акт о браке 000022300 от 15.01.2026 9:53:26,,,,,,,,,,,,,,,"2,0",,"9736,4"
"63,0","Унитаз-компакт ""Соло"" белый  Киров, гор. выпуск, ниж. подвод, сид. полипропилен, армат. 3/6",,,,д7810,заводской брак,холодный треск,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"3093,8"
"64,0","Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7809,бой при доставке,бой,Китай - Смув,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"6642,6"
Акт о браке 000022301 от 15.01.2026 9:56:08,,,,,,,,,,,,,,,"2,0",,"4970,1"
"65,0","A2801, A2801B Бачок для унитаза-компакта, арматура",,,,д7905,заводской брак,Брак литья бачка и чаши,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"1656,7"
